group	file	WxH	vcodec	vBR_kbps	runtime_s	size_MB	verdict	reason
ABYSS	ABYSS.m4v.mp4	720x276	h264	855	10263	1255	KEEP	byte-identical (tie->mp4)
ABYSS	ABYSS.m4v	720x276	h264	855	10263	1255	DROP	byte-identical dup
BATMAN_BEGINS	BATMAN_BEGINS.m4v	1920x800	h264	2798	8403	2974	KEEP	best encode
BATMAN_BEGINS	BATMAN_BEGINS.m4v.mp4	720x364	h264	706	8401	878	DROP	inferior encode
BlindSide	BlindSide.m4v.mp4	720x480	h264	1268	7710	1318	KEEP	byte-identical (tie->mp4)
BlindSide	BlindSide.m4v	720x480	h264	1268	7710	1318	DROP	byte-identical dup
JohnnyLingo	JohnnyLingo.m4v.mp4	720x368	h264	2022	5467	1425	KEEP	byte-identical (tie->mp4)
JohnnyLingo	JohnnyLingo.m4v	720x368	h264	2022	5467	1425	DROP	byte-identical dup
KNIGHT_AND_DAY_FR	KNIGHT_AND_DAY_FR.m4v.mp4	718x360	h264	939	6571	869	KEEP	byte-identical (tie->mp4)
KNIGHT_AND_DAY_FR	KNIGHT_AND_DAY_FR.m4v	718x360	h264	939	6571	869	DROP	byte-identical dup
LEAP_YEAR	LEAP_YEAR.m4v.mp4	720x354	h264	671	6016	603	KEEP	byte-identical (tie->mp4)
LEAP_YEAR	LEAP_YEAR.m4v	720x354	h264	671	6016	603	DROP	byte-identical dup
MARVELS_THE_AVENGERS	MARVELS_THE_AVENGERS.m4v.mp4	720x480	h264	847	8576	1041	KEEP	byte-identical (tie->mp4)
MARVELS_THE_AVENGERS	MARVELS_THE_AVENGERS.m4v	720x480	h264	847	8576	1041	DROP	byte-identical dup
Monster_House	Monster_House.mp4	720x480	h264	1068	5446	1053	KEEP	best encode
Monster_House	Monster_House.m4v	720x480	h264	957	5444	732	DROP	inferior encode
NATIONAL_TREASURE	NATIONAL_TREASURE.m4v.mp4	720x480	h264	1199	7865	1284	KEEP	byte-identical (tie->mp4)
NATIONAL_TREASURE	NATIONAL_TREASURE.m4v	720x480	h264	1199	7865	1284	DROP	byte-identical dup
OverTheHedge	OverTheHedge.m4v.mp4	720x464	h264	1000	4996	694	KEEP	byte-identical (tie->mp4)
OverTheHedge	OverTheHedge.m4v	720x464	h264	1000	4996	694	DROP	byte-identical dup
PINK_PANTHER_2	PINK_PANTHER_2.m4v.mp4	720x472	h264	1296	5521	963	KEEP	byte-identical (tie->mp4)
PINK_PANTHER_2	PINK_PANTHER_2.m4v	720x472	h264	1296	5521	963	DROP	byte-identical dup
RETURN_TO_ME	RETURN_TO_ME.m4v.mp4	718x468	h264	1432	6955	1328	KEEP	byte-identical (tie->mp4)
RETURN_TO_ME	RETURN_TO_ME.m4v	718x468	h264	1432	6955	1328	DROP	byte-identical dup
RV	RV.m4v.mp4	720x356	h264	1210	5925	975	KEEP	byte-identical (tie->mp4)
RV	RV.m4v	720x356	h264	1210	5925	975	DROP	byte-identical dup
SHREK	SHREK.m4v.mp4	720x480	h264	886	5404	681	KEEP	byte-identical (tie->mp4)
SHREK	SHREK.m4v	720x480	h264	886	5404	681	DROP	byte-identical dup
STAR_TREK_XI_DOM	STAR_TREK_XI_DOM.m4v.mp4	718x360	h264	992	7610	1054	KEEP	byte-identical (tie->mp4)
STAR_TREK_XI_DOM	STAR_TREK_XI_DOM.m4v	718x360	h264	992	7610	1054	DROP	byte-identical dup
THE_AMAZING_SPIDER_MAN	THE_AMAZING_SPIDER_MAN.m4v.mp4	720x360	h264	619	8178	771	KEEP	byte-identical (tie->mp4)
THE_AMAZING_SPIDER_MAN	THE_AMAZING_SPIDER_MAN.m4v	720x360	h264	619	8178	771	DROP	byte-identical dup
THE_BOURNE_IDENTITY	THE_BOURNE_IDENTITY.m4v.mp4	720x362	h264	696	7098	733	KEEP	byte-identical (tie->mp4)
THE_BOURNE_IDENTITY	THE_BOURNE_IDENTITY.m4v	720x362	h264	696	7098	733	DROP	byte-identical dup
THE_BOURNE_SUPREMACY	THE_BOURNE_SUPREMACY.m4v.mp4	720x362	h264	820	6513	769	KEEP	byte-identical (tie->mp4)
THE_BOURNE_SUPREMACY	THE_BOURNE_SUPREMACY.m4v	720x362	h264	820	6513	769	DROP	byte-identical dup
THE_BOURNE_ULTIMATUM	THE_BOURNE_ULTIMATUM.m4v.mp4	720x354	h264	887	6919	873	KEEP	byte-identical (tie->mp4)
THE_BOURNE_ULTIMATUM	THE_BOURNE_ULTIMATUM.m4v	720x354	h264	887	6919	873	DROP	byte-identical dup
TOMB_RAIDER	TOMB_RAIDER.m4v.mp4	720x364	h264	850	6034	734	KEEP	best encode
TOMB_RAIDER	TOMB_RAIDER.m4v	720x364	h264	850	6034	734	DROP	inferior encode
TOMB_RAIDER	TOMB_RAIDER.mp4	716x362	h264	838	6034	698	DROP	inferior encode
AVATAR	AVATAR.mp4	720x480	h264	1733	9702	2201	KEEP	intentional smaller re-encode
AVATAR	AVATAR_small.mp4	720x480	h264	872	9702	1206	DROP	intentional smaller re-encode
