filename	size	container	runtime_s	vcodec	width	height	vbitrate	acodec	channels	abitrate
10000BC.m4v	1082303769	mov,mp4,m4a,3gp,3g2,mj2	6534.389433	h264	720	352	1159060	aac	2	159796
10THINGS_HATE_ABOUT_YOU.m4v	1026688192	mov,mp4,m4a,3gp,3g2,mj2	5859.445233	h264	720	464	1233335	aac	2	161918
27DRESSES_PS.m4v	798552073	mov,mp4,m4a,3gp,3g2,mj2	6649.100778	h264	720	480	794435	aac	2	159884
A_HORSE_FOR_DANNY.m4v	1680451316	mov,mp4,m4a,3gp,3g2,mj2	5517.461333	h264	710	480	2268225	aac	2	163452
A_NIGHT_AT_THE_MUSEUM_D1_WS.m4v	1030589799	mov,mp4,m4a,3gp,3g2,mj2	6516.267422	h264	720	472	1095194	aac	2	164026
ABYSS.m4v	1316271653	mov,mp4,m4a,3gp,3g2,mj2	10262.868078	h264	720	276	855443	aac	2	164694
ABYSS.m4v.mp4	1316271653	mov,mp4,m4a,3gp,3g2,mj2	10262.868078	h264	720	276	855443	aac	2	164694
AGE_OF_ADALINE.m4v.mp4	574100548	mov,mp4,m4a,3gp,3g2,mj2	6749.626200	h264	720	356	508881	aac	2	163997
AQUAMAN.m4v	1490011694	mov,mp4,m4a,3gp,3g2,mj2	8600.008067	h264	720	480	1215263	aac	2	164357
Atlantis.m4v	781902997	mov,mp4,m4a,3gp,3g2,mj2	5746.666667	h264	720	368	922343	aac	2	159973
ATTACK_OF_THE_CLONES_D1.m4v	1208060189	mov,mp4,m4a,3gp,3g2,mj2	8548.918333	h264	720	368	958983	aac	2	165207
AVATAR.mp4	2308530849	mov,mp4,m4a,3gp,3g2,mj2	9702.101333	h264	720	480	1733466	aac	2	164745
AVATAR_small.mp4	1264873803	mov,mp4,m4a,3gp,3g2,mj2	9702.101333	h264	720	480	872904	aac	2	164745
AVENGERS_AGE_OF_ULTRON.mp4	3594595221	mov,mp4,m4a,3gp,3g2,mj2	8478.783000	h264	1920	804	3224220	aac	2	161194
BaptistsAtOurBBQ.m4v	1240055674	mov,mp4,m4a,3gp,3g2,mj2	5567.509333	h264	720	464	1611948	aac	2	163963
BARBIE_FAIRYTOPIA.mp4	398813237	mov,mp4,m4a,3gp,3g2,mj2	1621.453167	h264	720	480	1347089	aac	2	162766
BATMAN_BEGINS.m4v	3119050797	mov,mp4,m4a,3gp,3g2,mj2	8402.922000	h264	1920	800	2798752	aac	2	164365
BATMAN_BEGINS.m4v.mp4	920668615	mov,mp4,m4a,3gp,3g2,mj2	8401.209622	h264	720	364	706481	aac	2	164407
BlindSide.m4v	1383012412	mov,mp4,m4a,3gp,3g2,mj2	7710.415867	h264	720	480	1268839	aac	2	159836
BlindSide.m4v.mp4	1383012412	mov,mp4,m4a,3gp,3g2,mj2	7710.415867	h264	720	480	1268839	aac	2	159836
cars.m4v	813358765	mov,mp4,m4a,3gp,3g2,mj2	6991.466667	h264	480	208	798127	aac	2	127967
Casino Royale.m4v	958755946	mov,mp4,m4a,3gp,3g2,mj2	8652.001756	h264	720	354	715661	aac	2	164368
CASTAWAY.m4v	1153690667	mov,mp4,m4a,3gp,3g2,mj2	8627.977689	h264	718	468	899029	aac	2	164226
CharlieChocolateFactory.m4v	1088777460	mov,mp4,m4a,3gp,3g2,mj2	6892.583211	h264	720	480	1097902	aac	2	159931
CHICKEN_RUN.m4v	668283398	mov,mp4,m4a,3gp,3g2,mj2	5062.058667	h264	720	480	885745	aac	2	164440
ChickenLittle.m4v	644069678	mov,mp4,m4a,3gp,3g2,mj2	4854.316722	h264	720	478	890679	aac	2	164756
CINDERELLA_MAN.m4v	748543570	mov,mp4,m4a,3gp,3g2,mj2	8662.345367	h264	720	362	521642	aac	2	163181
DespicableMe2.m4v	3531685038	mov,mp4,m4a,3gp,3g2,mj2	5880.063063	mjpeg	640	345	6851	aac	2	156820
Doogal.m4v	705981505	mov,mp4,m4a,3gp,3g2,mj2	4607.402778	h264	720	480	1059528	aac	2	160002
DR_SEUSS_THE_LORAX.m4v	745520382	mov,mp4,m4a,3gp,3g2,mj2	5179.249033	h264	720	464	980327	aac	2	165175
DREAMER.m4v	712004010	mov,mp4,m4a,3gp,3g2,mj2	6319.709756	h264	720	354	731199	aac	2	164075
EASY_A.m4v	735872239	mov,mp4,m4a,3gp,3g2,mj2	5545.039500	h264	720	464	893064	aac	2	162102
EDGE_OF_TOMORROW.m4v	783582214	mov,mp4,m4a,3gp,3g2,mj2	6809.702878	h264	720	360	750812	aac	2	163265
Elf.m4v	3143135335	mov,mp4,m4a,3gp,3g2,mj2	5803.178000	h264	1920	1080	4164147	aac	2	162351
EMMA_SMITH.m4v	738043455	mov,mp4,m4a,3gp,3g2,mj2	5838.407533	h264	720	480	840713	aac	2	164565
EMPERORS_NEW_GROOVE.m4v	480225532	mov,mp4,m4a,3gp,3g2,mj2	4705.889222	h264	680	480	645393	aac	2	165263
FAST_FURIOUS_1.m4v	694167043	mov,mp4,m4a,3gp,3g2,mj2	6415.636000	h264	720	364	692916	aac	2	166213
FAST_FURIOUS_2.m4v	938205148	mov,mp4,m4a,3gp,3g2,mj2	6461.146433	h264	720	362	990869	aac	2	164299
FAST_FURIOUS_3.m4v	748733449	mov,mp4,m4a,3gp,3g2,mj2	6255.874600	h264	720	362	786626	aac	2	164414
FAST_FURIOUS_4.m4v	629170486	mov,mp4,m4a,3gp,3g2,mj2	6405.738000	h264	720	354	614815	aac	2	164463
FAST_FURIOUS_5.m4v	939655127	mov,mp4,m4a,3gp,3g2,mj2	7831.124000	h264	720	364	789843	aac	2	163600
FAST_FURIOUS_6.m4v	808380186	mov,mp4,m4a,3gp,3g2,mj2	7816.892400	h264	720	364	656751	aac	2	164086
FAST_FURIOUS_7.m4v	1015708215	mov,mp4,m4a,3gp,3g2,mj2	8246.613356	h264	720	356	814801	aac	2	164111
FindingNemo.m4v	1391441931	mov,mp4,m4a,3gp,3g2,mj2	6033.339144	h264	720	480	1674617	aac	2	164668
FROZEN.m4v	725724174	mov,mp4,m4a,3gp,3g2,mj2	6132.181378	h264	720	384	776356	aac	2	164417
GOLDEN_COLLECTION_VOLUME_3_D2.m4v	2146346056	mov,mp4,m4a,3gp,3g2,mj2	6668.865489	h264	720	478	2404460	aac	1	164425
