filename	proposed_name	confidence	notes
10000BC.m4v	10,000 BC (2008).m4v	HIGH	
10THINGS_HATE_ABOUT_YOU.m4v	10 Things I Hate About You (1999).m4v	HIGH	
27DRESSES_PS.m4v	27 Dresses (2008).m4v	HIGH	_PS suffix likely pan&scan
ABYSS.m4v.mp4	The Abyss (1989).mp4	HIGH	
AGE_OF_ADALINE.m4v.mp4	The Age of Adaline (2015).mp4	HIGH	
AQUAMAN.m4v	Aquaman (2018).m4v	HIGH	
ATTACK_OF_THE_CLONES_D1.m4v	Star Wars: Episode II - Attack of the Clones (2002).m4v	HIGH	_D1 = disc 1; may be multi-episode -- SKIP if so
AVATAR.mp4	Avatar (2009).mp4	HIGH	
AVENGERS_AGE_OF_ULTRON.mp4	Avengers: Age of Ultron (2015).mp4	HIGH	
A_HORSE_FOR_DANNY.m4v	A Horse for Danny (1995).m4v	MED	TV movie; year uncertain
A_NIGHT_AT_THE_MUSEUM_D1_WS.m4v	Night at the Museum (2006).m4v	HIGH	_D1_WS = disc 1 widescreen
Atlantis.m4v	Atlantis: The Lost Empire (2001).m4v	HIGH	Disney animated
BARBIE_FAIRYTOPIA.mp4	Barbie Fairytopia (2005).mp4	MED	runtime 27m = the first Fairytopia; could be Mermaidia (2006)
BATMAN_BEGINS.m4v	Batman Begins (2005).m4v	HIGH	1080p keep copy
BaptistsAtOurBBQ.m4v	Baptists at Our Barbecue (2004).m4v	MED	LDS film; year uncertain
BlindSide.m4v.mp4	The Blind Side (2009).mp4	HIGH	
CASTAWAY.m4v	Cast Away (2000).m4v	HIGH	
CHICKEN_RUN.m4v	Chicken Run (2000).m4v	HIGH	
CINDERELLA_MAN.m4v	Cinderella Man (2005).m4v	HIGH	
Casino Royale.m4v	Casino Royale (2006).m4v	HIGH	Daniel Craig
CharlieChocolateFactory.m4v	Charlie and the Chocolate Factory (2005).m4v	HIGH	
ChickenLittle.m4v	Chicken Little (2005).m4v	HIGH	Disney
DREAMER.m4v	Dreamer (2005).m4v	HIGH	Kurt Russell horse film
DR_SEUSS_THE_LORAX.m4v	The Lorax (2012).m4v	HIGH	
DespicableMe2.m4v	Despicable Me 2 (2013).m4v	HIGH	
Doogal.m4v	Doogal (2006).m4v	HIGH	
EASY_A.m4v	Easy A (2010).m4v	HIGH	
EDGE_OF_TOMORROW.m4v	Edge of Tomorrow (2014).m4v	HIGH	
EMMA_SMITH.m4v	Emma Smith: My Story (2008).m4v	MED	LDS biopic; year uncertain
EMPERORS_NEW_GROOVE.m4v	The Emperor's New Groove (2000).m4v	HIGH	Disney
Elf.m4v	Elf (2003).m4v	HIGH	
FAST_FURIOUS_1.m4v	The Fast and the Furious (2001).m4v	HIGH	
FAST_FURIOUS_2.m4v	2 Fast 2 Furious (2003).m4v	HIGH	
FAST_FURIOUS_3.m4v	The Fast and the Furious: Tokyo Drift (2006).m4v	HIGH	
FAST_FURIOUS_4.m4v	Fast & Furious (2009).m4v	HIGH	
